year,lower,median,upper
1278,-1.9375,-0.5,1.125
1279,-1.1875,0.25,1.9375
1280,-1.375,0.0625,1.6875
1281,-1.375,0.0625,1.6875
1282,-1.4375,0,1.625
1283,-1.375,0.0625,1.6875
1284,-1.4375,0,1.6875
1285,-1.5625,-0.125,1.5
1286,-1.625,-0.1875,1.4375
1287,-1.5,-0.0625,1.5625
1288,-2.25,-0.8125,0.8125
1289,-1.3125,0.125,1.75
1290,-0.6875,0.625,2.1875
1291,-0.4375,0.875,2.4375
1292,-2.3125,-0.9375,0.5625
1293,-1.625,-0.3125,1.1875
1294,-1.875,-0.5625,1
1295,-1.4375,-0.125,1.4375
1296,-2.25,-0.9375,0.5625
1297,-1.625,-0.25,1.25
1298,-0.3125,1,2.5625
1299,-1.5625,-0.25,1.25
1300,-1.4375,-0.25,1.125
1301,-0.5,0.6875,2.0625
1302,-0.75,0.4375,1.8125
1303,-1.125,0.0625,1.4375
1304,-1.4375,-0.25,1.125
1305,-1.75,-0.5625,0.8125
1306,-0.9375,0.25,1.625
1307,-1.625,-0.4375,0.9375
1308,-2.3125,-1.125,0.25
1309,-1,0.1875,1.5625
1310,-1.125,0.0625,1.5
1311,-1.4375,-0.25,1.125
1312,-1.125,0.0625,1.4375
1313,-0.3125,0.875,2.3125
1314,-0.5,0.6875,2.125
1315,-1.875,-0.6875,0.6875
1316,-3.0625,-1.8125,-0.4375
1317,-2.0625,-0.875,0.5
1318,-2,-0.75,0.5625
1319,-1.25,-0.0625,1.3125
1320,-0.6875,0.5,1.875
1321,-0.8125,0.375,1.75
1322,-1.5625,-0.375,1.0625
1323,-2.3125,-1.0625,0.3125
1324,-2.75,-1.5625,-0.1875
1325,-1.75,-0.5,0.875
1326,-0.875,0.3125,1.6875
1327,-0.6875,0.5,1.875
1328,-0.9375,0.3125,1.6875
1329,-0.5,0.6875,2.125
1330,-0.5625,0.6875,2.0625
1331,-0.8125,0.375,1.75
1332,-1.0625,0.0625,1.5
1333,-1,0.1875,1.5625
1334,-1.25,-0.0625,1.3125
1335,-1.375,-0.1875,1.1875
1336,-2.0625,-0.875,0.5
1337,-0.5625,0.625,2
1338,-1,0.1875,1.5625
1339,-1.875,-0.6875,0.6875
1340,-2.5,-1.3125,0.0625
1341,-1.1875,0,1.375
1342,-1.125,0.0625,1.4375
1343,-2,-0.8125,0.5625
1344,-1.8125,-0.625,0.75
1345,-1.375,-0.1875,1.1875
1346,-0.8125,0.375,1.75
1347,-1.1875,0,1.375
1348,-1.5,-0.25,1.125
1349,-1.5625,-0.3125,1.0625
1350,-2,-0.8125,0.5625
1351,-1.3125,-0.125,1.25
1352,-1.5,-0.3125,1.0625
1353,-1.5,-0.3125,1.0625
1354,-1.4375,-0.25,1.125
1355,-2,-0.8125,0.5625
1356,-1.0625,0.125,1.5
1357,-1,0.1875,1.5625
1358,-0.875,0.3125,1.6875
1359,-1.625,-0.4375,0.9375
1360,-2.3125,-1.125,0.25
1361,-1.1875,0,1.375
1362,-2,-0.8125,0.5625
1363,-1.5,-0.3125,1.0625
1364,-1.6875,-0.5,0.875
1365,-1.5,-0.3125,1.0625
1366,-1.125,0.0625,1.4375
1367,-1.3125,-0.125,1.25
1368,-0.5,0.6875,2.0625
1369,-1.625,-0.4375,0.9375
1370,-1.75,-0.5625,0.8125
1371,-1.875,-0.625,0.75
1372,-2.0625,-0.875,0.5
1373,-1.25,-0.0625,1.3125
1374,-0.3125,0.875,2.25
1375,-2.5625,-1.375,0
1376,-1.625,-0.4375,0.9375
1377,-1.625,-0.4375,0.9375
1378,-2.125,-0.875,0.5
1379,-1.8125,-0.625,0.75
1380,-1,0.1875,1.5625
1381,-1,0.1875,1.625
1382,-2.3125,-1.125,0.25
1383,-1.875,-0.6875,0.6875
1384,-1.0625,0.125,1.5
1385,-0.6875,0.5,1.9375
1386,-1.6875,-0.5,0.9375
1387,-1.75,-0.5625,0.8125
1388,-1.6875,-0.5,0.875
1389,-2.6875,-1.5,-0.125
1390,-3,-1.75,-0.375
1391,-2.1875,-1,0.375
1392,-1.0625,0.0625,1.5
1393,-1.625,-0.4375,1
1394,-1.25,-0.0625,1.3125
1395,-2.0625,-0.875,0.5
1396,-1.9375,-0.75,0.625
1397,-2,-0.75,0.5625
1398,-2.125,-0.875,0.5
1399,-3,-1.75,-0.375
1400,-2.25,-1,0.375
1401,-1.25,-0.0625,1.3125
1402,-0.9375,0.25,1.625
1403,-1.125,0,1.4375
1404,-0.1875,1.0625,2.4375
1405,-1.75,-0.5,0.875
1406,-1.875,-0.625,0.75
1407,-2.125,-0.875,0.5
1408,-1.125,0.0625,1.4375
1409,-1.5,-0.3125,1.0625
1410,-2.3125,-1.125,0.25
1411,-1.8125,-0.625,0.75
1412,-0.8125,0.375,1.75
1413,-2,-0.8125,0.5625
1414,-1.6875,-0.5,0.9375
1415,-1.6875,-0.5,0.875
1416,-1.5625,-0.375,1
1417,-0.875,0.3125,1.6875
1418,-1.1875,-0,1.375
1419,-1.5,-0.3125,1.0625
1420,-1.1875,-0,1.375
1421,-2,-0.75,0.625
1422,-2.25,-1,0.375
1423,-1.75,-0.5625,0.8125
1424,-1.25,-0.0625,1.3125
1425,-0.625,0.5625,1.9375
1426,-1.5,-0.3125,1.125
1427,-1.1875,-0,1.375
1428,-0.9375,0.25,1.625
1429,-1.75,-0.5,0.875
1430,-1.75,-0.5625,0.8125
1431,-0.75,0.4375,1.8125
1432,-0.625,0.5625,2
1433,-1.5625,-0.375,1
1434,-0.75,0.4375,1.875
1435,-1.6875,-0.4375,0.9375
1436,-1.625,-0.4375,0.9375
1437,-1.5625,-0.3125,1.0625
1438,-1.9375,-0.75,0.625
1439,-1.5,-0.3125,1.0625
1440,-1.75,-0.5625,0.875
1441,-1.3125,-0.125,1.25
1442,-2,-0.75,0.625
1443,-0.75,0.4375,1.8125
1444,-1.6875,-0.5,0.875
1445,-2.1875,-0.9375,0.4375
1446,-1.8125,-0.625,0.75
1447,-1.5,-0.3125,1.0625
1448,-1.1875,0,1.4375
