year,median
1680,0.686094087172133
1681,1.01729317397701
1682,-0.27375058617322
1683,-1.26705378067128
1684,-0.498480686102375
1685,-0.0138273713508239
1686,1.27312818204817
1687,0.455950397926009
1688,-0.257464116361693
1689,-0.04802423057661
1690,0.428692656507851
1691,-0.558149802485352
1692,0.59505296496418
1693,0.0871354247918271
1694,0.593064817664896
1695,-0.307139982137633
1696,0.0851218600630739
1697,0.32198273414224
1698,0.0291288497767555
1699,-0.469390588327851
1700,0.262936399461298
1701,0.605321909172092
1702,-0.203952467596914
1703,0.61713282503088
1704,-0.173581315276604
1705,0.255855049179415
1706,-1.92199556458146
1707,0.159190110619881
1708,0.490614377461424
1709,-0.0457468246642665
1710,-1.43803351433626
1711,1.08556654236241
1712,1.44148904246408
1713,0.337975443362187
1714,-0.275361750749662
1715,-0.46942615242367
1716,-0.590969119346465
1717,-0.297235485851788
1718,0.586483267896497
1719,0.309260790625818
1720,-1.29691875087385
1721,0.424011284237406
1722,0.976473058059969
1723,-0.699562855028254
1724,0.638013297927682
1725,0.15653574515913
1726,-0.540645048676877
1727,-0.0202391304128553
1728,-0.0410941056621338
1729,-0.170905839587809
1730,0.384058052846665
1731,0.193412527796828
1732,-0.0569773241785323
1733,-0.40050624123441
1734,-0.114730623763208
1735,-0.0298733033399976
1736,0.477982887712694
1737,-0.967948213458484
1738,0.617512131722771
1739,-0.13376081305599
1740,0.579726019958062
1741,-0.10650774432351
1742,-0.0844399866843694
1743,0.150528802570804
1744,-0.557679427959935
1745,-0.149224426743841
1746,0.153851668050609
1747,0.637911011688548
1748,0.0782030874140567
1749,0.432968032349997
1750,-0.719306478924212
1751,-0.104578392913318
1752,-0.256320907104144
1753,-0.509672980055774
1754,0.0358377891450006
1755,-0.315985660918054
1756,0.797840958396975
1757,0.832737174626786
1758,-0.601616072985219
1759,0.757065233638736
1760,0.234881639924287
1761,-0.811436897175883
1762,0.0200807167952215
1763,0.842007277960894
1764,0.352451902359281
1765,-1.23476751613866
1766,-0.0301561688115353
1767,0.435681793816415
1768,0.253209755263464
1769,0.634133951675454
1770,-0.577449430512622
1771,0.190527739393114
1772,0.372709772371654
1773,-0.0038952283267636
1774,-0.550099651017214
1775,0.7634815515988
1776,0.210693371144413
1777,0.0257866799946167
1778,0.132221694096437
1779,-0.456403188323409
1780,0.315305192391366
1781,-0.0013893227401399
1782,-0.514398723209707
1783,-0.396625573323778
1784,0.360246558178874
1785,-0.1754933395488
1786,-0.140354609246349
1787,0.366186642478035
1788,0.105268308743612
1789,-0.170687346517849
1790,-0.220861907010475
1791,-0.235926135518589
1792,0.162614842122798
1793,0.345868064773558
1794,-0.495945680824183
1795,-0.54384918611546
1796,0.0270506204294845
1797,-0.499993703508846
1798,0.548804888515317
1799,0.467903003377933
1800,-0.220689752876511
1801,-0.401126402352248
1802,-0.142916619503642
1803,0.0884121018358844
1804,-0.0586980754198236
1805,0.159534557344631
1806,0.180113976915106
1807,0.480676813376383
1808,0.0304983998163315
1809,0.29376056806429
1810,-0.155980815356134
1811,-0.550083438650962
1812,-0.34030415813418
1813,0.171684075707258
1814,0.230637406207893
1815,-0.151083134358109
1816,0.320955710634208
1817,0.218605144163116
1818,-0.0342630435246361
1819,-0.247496770650859
1820,-0.261795078470504
1821,0.245618030063848
1822,-0.45953352283
1823,0.0069826249588975
1824,0.634283356665764
1825,-0.225309890137548
1826,0.192533148962474
1827,0.0779675676962265
1828,-0.791554825692587
1829,-0.833541871428312
1830,0.299467916661834
1831,0.496111098953938
1832,-0.120582009108515
1833,0.59979868687344
