year,nino3.4
1680,26.53766193637968
1681,27.051368692370957
1682,26.61630509399038
1683,27.117622705314798
1684,26.218988642511178
1685,25.96345176249336
1686,26.882018488048402
1687,27.275935946358004
1688,26.804022011229378
1689,26.471480761527857
1690,26.202262495530817
1691,26.12056091448565
1692,26.76958932364388
1693,26.602752178041243
1694,26.860465490395843
1695,26.223159874794334
1696,25.200448538573905
1697,25.349734624403425
1698,26.536224764477257
1699,26.02348060901265
1700,26.331371516078885
1701,26.594868649503493
1702,26.05590325551731
1703,27.432306701003196
1704,26.92317238159977
1705,26.135771950753195
1706,26.260514065690383
1707,26.286929746724628
1708,26.301365856200075
1709,26.097883004962128
1710,26.30135719507091
1711,26.73358100768597
1712,27.29581615753776
1713,26.89841015298471
1714,26.49333954785791
1715,25.690236399431527
1716,25.26136507142527
1717,26.09923616428507
1718,26.729169471499564
1719,26.571767799787324
1720,26.67939425107551
1721,27.38476974755992
1722,26.693642555021004
1723,27.152363396825553
1724,26.08545033123516
1725,26.048958545273532
1726,26.710615250272014
1727,26.409832590959066
1728,27.511247220457822
1729,26.900348450694764
1730,26.006943050699622
1731,25.983750566306597
1732,25.977980558502423
1733,26.639206610660864
1734,26.34036353251156
1735,26.4484579308607
1736,26.88604108756449
1737,26.802074405841797
1738,26.22281197955761
1739,26.774734806560584
1740,26.506883363238007
1741,26.84492642731819
1742,26.129426227868038
1743,25.56272304330425
1744,26.492880247372543
1745,26.36302001725031
1746,26.434114613704548
1747,27.95364030496752
1748,27.05187513192024
1749,27.80655373598279
1750,26.118195057404122
1751,26.325840460818025
1752,24.957611765511345
1753,25.372731327852303
1754,25.674941812262205
1755,25.565728918096244
1756,25.421188644150135
1757,25.236774741026974
1758,26.208541650240832
1759,26.76877556125423
1760,26.927705104183147
1761,27.415927122899948
1762,27.305615207572558
1763,26.81251722230167
1764,26.828735596109052
1765,26.29058787953908
1766,26.674655581129002
1767,26.64237263964043
1768,26.913397217355662
1769,26.822380843551617
1770,26.539016429893536
1771,26.95957009467378
1772,26.48390290002945
1773,26.45255048723256
1774,26.380229872825506
1775,26.63944641000347
1776,27.35983369029414
1777,26.669714533163983
1778,25.988327560067265
1779,26.55623431869611
1780,26.293810599855604
1781,26.29227173657972
1782,26.40307612986499
1783,26.22811469333946
1784,27.05785657893617
1785,26.925331270712935
1786,27.071374927716374
1787,25.954529646976088
1788,26.093168163044066
1789,25.489353931560856
1790,26.365977180317824
1791,27.199242151085073
1792,27.81346829230573
1793,26.852026519503813
1794,26.758241339832026
1795,27.32944188096523
1796,27.042325950558094
1797,26.917420061855125
1798,27.29081781489045
1799,27.3556782848581
1800,27.569763354603435
1801,26.685818539170338
1802,26.172516561548687
1803,26.697898536374648
1804,27.638297961406455
1805,26.39179362658655
1806,25.900269416967507
1807,26.906621807121635
1808,27.56177290582828
1809,27.139384050394096
1810,25.885666385834188
1811,26.09421802060464
1812,27.017900820915088
1813,26.493007936556385
1814,26.842313791449076
1815,27.274656799251588
1816,27.60404930875708
1817,27.26643601071862
1818,26.661950455746506
1819,26.29786249414637
1820,26.720557647860343
1821,27.327739963705223
1822,26.839393447952478
1823,27.485652468159547
1824,26.684852853020903
1825,27.22756362395877
1826,26.6951047558308
1827,27.244366292994513
1828,27.463060613370434
1829,27.19775551267624
1830,27.04601586104191
1831,27.483927735455612
1832,26.895206747305064
1833,27.04101174835277
1834,26.186555866993455
1835,26.605193793350796
