,date,c13,o18
185,1713.42,-24.42,24.88
186,1713.58,-24.71,24.01
187,1713.75,-24.96,24.07
188,1713.92,-24.92,25.28
189,1714.08,-25.19,24.89
190,1714.25,-25.16,24.54
191,1714.42,-24.69,26.21
192,1714.58,-24.9,24.84
193,1714.75,-25.15,24.17
194,1714.92,-25.22,24.61
195,1715.1,-25.37,23.7
196,1715.3,-24.98,24.4
197,1715.5,-24.57,25.02
198,1715.7,-24.92,24.82
199,1715.9,-24.62,25.63
200,1716.1,-25.52,24.78
201,1716.3,-24.86,23.65
202,1716.5,-24.77,24.97
203,1716.7,-25.25,23.77
204,1716.9,-25.36,25.05
205,1717.1,-25.37,24.29
206,1717.3,-24.92,24.78
207,1717.5,-24.65,23.65
208,1717.7,-24.57,25.0
209,1717.9,-24.8,25.48
210,1718.17,-25.15,26.06
211,1718.5,-25.14,24.81
212,1718.83,-24.81,25.19
213,1719.25,-24.8,26.75
214,1719.75,-24.81,25.18
215,1720.08,-25.14,23.64
216,1720.25,-25.71,22.17
217,1720.42,-25.51,24.09
218,1720.58,-24.73,25.16
219,1720.75,-24.81,25.22
220,1720.92,-25.24,25.9
221,1721.13,-25.62,25.72
222,1721.38,-24.29,26.19
223,1721.63,-24.3,25.75
224,1721.88,-24.74,24.99
225,1722.08,-25.05,26.14
226,1722.42,-24.9,26.36
227,1722.58,-24.79,27.12
228,1722.75,-25.55,26.01
229,1722.92,-25.75,26.91
230,1723.08,-25.32,27.8
231,1723.25,-25.1,27.1
232,1723.25,-24.61,25.57
233,1723.42,-25.04,24.72
234,1723.58,-25.56,23.1
235,1723.75,-25.72,24.43
236,1723.92,-25.98,25.57
237,1724.1,-25.12,27.17
238,1724.3,-24.77,26.38
239,1724.5,-25.09,24.33
240,1724.7,-25.28,24.77
241,1724.9,-25.3,26.05
242,1725.08,-24.4,25.37
243,1725.42,-24.34,24.89
244,1725.58,-24.21,25.67
245,1725.75,-24.71,26.1
246,1725.92,-25.32,26.57
247,1726.08,-24.29,27.3
248,1726.25,-24.4,25.35
249,1726.42,-24.6,24.39
250,1726.58,-24.79,24.85
251,1726.75,-24.77,24.76
252,1726.92,-25.0,24.82
253,1727.08,-24.81,25.34
254,1727.25,-24.07,23.8
255,1727.42,-24.87,24.38
256,1727.58,-25.23,24.11
257,1727.75,-24.86,26.06
258,1727.92,-25.16,24.54
259,1728.08,-24.18,25.63
260,1728.25,-24.72,26.15
261,1728.42,-24.14,26.92
262,1728.58,-24.62,26.97
263,1728.75,-24.9,24.24
264,1728.92,-25.25,25.43
265,1729.08,-25.2,26.28
266,1729.25,-24.8,26.03
267,1729.42,-24.78,25.12
268,1729.58,-25.42,24.7
269,1729.75,-25.25,25.72
270,1729.92,-26.09,25.09
271,1730.08,-24.82,25.77
272,1730.25,-24.32,25.91
273,1730.42,-24.11,26.47
274,1730.58,-24.79,26.52
275,1730.75,-24.98,25.85
276,1730.92,-25.32,27.17
277,1731.08,-24.65,26.32
278,1731.25,-24.54,26.12
279,1731.42,-24.92,25.58
280,1731.58,-25.19,26.12
281,1731.75,-25.05,26.5
282,1731.92,-25.65,25.46
283,1732.08,-24.44,25.47
284,1732.25,-24.35,26.56
285,1732.42,-24.39,26.9
286,1732.58,-24.73,26.39
287,1732.75,-25.68,24.98
288,1732.92,-25.6,26.36
289,1733.08,-25.08,26.03
290,1733.25,-25.21,26.1
291,1733.42,-25.76,24.74
292,1733.58,-26.24,23.3
293,1733.75,-25.57,24.94
294,1733.92,-25.4,26.93
295,1734.08,-25.37,25.14
296,1734.25,-25.54,23.94
297,1734.42,-25.3,26.48
298,1734.75,-25.34,26.03
299,1734.92,-25.99,24.41
300,1735.08,-25.76,24.5
301,1735.25,-25.62,26.2
302,1735.42,-25.67,25.98
303,1735.58,-26.5,23.04
304,1735.75,-26.55,25.35
305,1735.92,-25.94,24.95
306,1736.1,-25.54,26.14
307,1736.3,-26.02,25.74
308,1736.5,-26.31,24.87
309,1736.9,-26.5,25.22
310,1737.25,-26.89,23.13
311,1737.42,-26.48,24.74
312,1737.58,-26.54,24.79
313,1737.75,-26.43,24.34
314,1737.92,-26.6,22.98
315,1738.08,-25.86,24.0
316,1738.25,-24.91,25.83
317,1738.42,-25.31,25.02
318,1738.58,-24.97,25.44
319,1738.75,-24.77,26.77
320,1738.92,-24.96,26.81
321,1739.08,-26.15,24.41
322,1739.25,-25.96,24.34
323,1739.42,-25.55,24.46
324,1739.58,-25.56,25.21
325,1739.75,-25.7,25.4
326,1739.92,-25.67,26.25
327,1740.08,-25.27,26.55
328,1740.25,-25.48,25.22
329,1740.42,-25.49,24.85
330,1740.58,-26.06,25.37
331,1740.75,-25.68,24.75
332,1740.92,-25.49,26.76
333,1741.08,-24.79,26.17
334,1741.25,-25.57,24.28
335,1741.42,-25.57,24.91
336,1741.58,-26.05,24.61
337,1741.75,-25.76,24.23
338,1741.92,-25.65,25.8
339,1742.08,-25.75,24.52
340,1742.25,-25.24,25.31
341,1742.42,-25.39,25.96
342,1742.58,-25.01,25.41
343,1742.75,-25.37,24.22
344,1742.92,-25.36,25.85
345,1743.08,-24.79,25.96
346,1743.25,-25.34,25.39
347,1743.42,-25.65,25.13
348,1743.58,-25.55,25.92
349,1743.75,-25.29,26.83
350,1743.92,-25.28,26.82
351,1744.08,-25.45,24.65
352,1744.25,-25.36,25.33
353,1744.25,-25.75,24.59
354,1744.42,-25.9,24.08
355,1744.58,-25.16,25.07
356,1744.58,-25.29,25.0
357,1744.75,-25.94,23.56
358,1744.92,-25.82,23.56
359,1744.92,-26.0,23.45
360,1745.08,-25.0,25.92
361,1745.25,-25.67,24.13
362,1745.25,-25.29,25.32
363,1745.42,-25.8,25.01
364,1745.58,-25.57,25.21
365,1745.58,-26.12,24.21
366,1745.75,-25.7,25.17
367,1745.92,-25.35,26.71
368,1745.92,-25.39,26.47
369,1746.08,-25.22,24.22
370,1746.25,-25.68,23.35
371,1746.42,-25.53,25.21
372,1746.58,-25.28,26.47
373,1746.75,-25.16,27.51
374,1746.92,-25.13,27.38
375,1747.08,-24.2,26.43
376,1747.25,-24.98,25.13
377,1747.42,-25.3,26.71
378,1747.58,-25.56,25.38
379,1747.75,-25.27,27.24
380,1747.92,-25.2,28.02
381,1748.08,-25.41,27.32
382,1748.25,-24.92,26.15
383,1748.42,-24.58,26.08
384,1748.58,-24.85,25.52
385,1748.75,-25.39,26.54
386,1748.92,-25.43,27.04
387,1749.08,-25.86,24.54
388,1749.25,-25.16,25.33
389,1749.42,-25.51,24.93
390,1749.58,-25.75,25.59
391,1749.75,-25.72,26.23
392,1749.92,-24.96,27.98
393,1750.08,-24.77,25.59
394,1750.25,-24.41,25.52
395,1750.42,-24.7,26.27
396,1750.58,-25.51,22.9
397,1750.75,-25.64,24.25
398,1750.92,-25.61,24.88
399,1751.08,-25.61,24.16
400,1751.25,-24.74,24.28
401,1751.42,-24.78,24.81
402,1751.58,-24.58,26.39
403,1751.75,-24.69,26.69
404,1751.92,-25.21,26.54
405,1752.08,-24.58,25.58
406,1752.25,-23.68,25.51
407,1752.42,-24.05,24.94
408,1752.58,-24.38,25.2
409,1752.75,-25.28,24.13
410,1752.92,-25.2,25.45
411,1753.08,-25.8,24.31
412,1753.25,-25.02,25.1
413,1753.42,-25.17,25.14
414,1753.58,-25.43,25.02
415,1753.75,-25.42,25.05
416,1753.92,-25.65,25.11
417,1754.08,-25.75,24.69
418,1754.25,-25.55,24.66
419,1754.42,-25.23,25.48
420,1754.58,-24.93,25.69
421,1754.75,-25.35,25.07
422,1754.92,-25.58,25.96
423,1755.08,-25.36,25.8
424,1755.25,-25.28,24.51
425,1755.42,-25.41,24.5
426,1755.58,-25.39,24.75
427,1755.75,-25.22,26.26
428,1755.92,-25.47,26.45
429,1756.08,-25.95,25.06
430,1756.25,-25.18,25.19
431,1756.42,-24.83,25.97
432,1756.58,-25.32,25.15
433,1756.75,-25.56,25.15
434,1756.92,-24.5,27.65
435,1757.13,-24.65,27.61
436,1757.38,-25.12,26.46
437,1757.63,-25.19,26.36
