date,c13,o18
1977.75,-25.16,28.59
1977.92,-25.46,27.23
1978.1,-25.76,27.47
1978.3,-25.49,28.34
1978.5,-25.96,27.66
1978.7,-25.95,28.16
1978.9,-26.1,28.42
1979.08,-25.59,30.13
1979.25,-25.34,30.36
1979.42,-25.26,29.39
1979.58,-25.31,29.75
1979.75,-25.88,29.26
1979.92,-26.22,29.81
1980.08,-26.65,30.11
1980.25,-25.6,30.53
1980.42,-25.15,30.46
1980.58,-25.3,30.09
1980.75,-25.33,30.33
1980.92,-25.33,30.16
1981.1,-25.05,32.16
1981.3,-25.17,28.23
1981.5,-25.65,28.23
1981.7,-25.92,27.15
1981.9,-25.59,27.56
1982.3,-25.67,27.18
1982.5,-25.85,27.39
1982.7,-25.31,29.29
1982.9,-26.33,28.5
1983.08,-26.14,28.29
1983.25,-25.47,27.65
1983.42,-25.93,25.91
1983.58,-26.08,25.29
1983.75,-26.5,25.24
1983.92,-27.7,25.56
1984.08,-27.97,26.22
1984.25,-27.39,26.11
1984.42,-25.93,27.85
1984.58,-25.89,28.46
1984.75,-26.25,27.89
1984.92,-26.42,27.64
1985.1,-26.11,24.76
1985.3,-26.19,25.56
1985.5,-26.14,27.82
1985.7,-25.93,28.12
1985.9,-25.57,29.39
1986.1,-25.72,29.49
1986.3,-25.91,29.49
1986.5,-25.95,28.9
,-26.08,27.63
1986.9,-25.8,29.22
1987.1,-25.69,29.58
1987.3,-25.36,29.55
,-25.16,28.28
