date,c13,o18
1836.08,-27.43,26.29
1836.25,-26.93,27.08
1836.42,-26.43,26.89
1836.58,-26.56,27.13
1836.75,-26.49,27.55
1836.92,-26.84,27.67
1837.08,-27.17,27.73
1837.25,-27.5,26.53
1837.42,-26.41,26.84
1837.58,-26.62,26.3
1837.75,-27.14,25.88
1837.92,-26.64,27.57
1838.08,-26.61,27.48
1838.25,-26.88,26.6
1838.42,-26.62,25.72
1838.58,-26.63,26.31
1838.75,-27.15,25.61
1838.92,-27.12,26.06
1839.13,-27.42,26.63
1839.38,-26.91,26.52
1839.63,-26.78,26.1
1839.88,-26.05,27.19
1840.17,-26.37,26.54
1840.5,-26.21,26.3
1840.83,-27.28,24.71
1841.17,-27.56,25.53
1841.5,-27.43,26.33
1841.83,-27.32,26.01
1842.1,-27.82,25.57
1842.3,-27.35,26.69
1842.5,-27.66,26.96
1842.7,-28.16,25.19
1842.9,-27.61,26.99
1843.08,-27.63,25.64
1843.25,-27.36,24.07
1843.42,-25.74,26.9
1843.58,-25.67,27.7
1843.92,-27.01,26.86
1844.1,-27.15,27.38
1844.3,-27.85,26.22
1844.5,-27.28,27.93
1844.7,-27.44,27.3
1844.9,-27.76,26.95
1845.08,-27.74,26.99
1845.25,-27.34,25.93
1845.42,-27.49,25.79
1845.58,-27.62,26.11
1845.75,-27.19,25.64
1845.92,-27.82,24.25
1846.08,-27.02,25.33
1846.25,-26.44,25.91
1846.58,-25.67,26.35
1846.75,-25.85,27.22
1846.92,-25.88,28.26
1847.13,-26.38,27.97
1847.38,-27.46,26.88
1847.63,-27.73,27.55
1847.88,-27.59,26.4
1848.13,-27.26,26.5
1848.38,-27.21,26.83
1848.63,-26.9,25.12
1848.88,-26.41,26.51
1849.08,-26.58,26.11
1849.25,-26.93,27.34
1849.42,-26.83,27.04
1849.58,-27.41,24.74
1849.75,-26.48,27.96
1849.92,-26.71,27.37
1850.08,-26.32,26.07
1850.25,-26.65,26.06
1850.42,-27.29,25.43
1850.58,-27.66,25.3
1850.75,-28.11,26.25
1850.92,-28.13,27.16
1851.1,-27.26,25.6
1851.5,-26.62,25.87
1851.7,-27.21,26.58
1851.9,-26.6,25.79
1852.08,-26.75,26.45
1852.25,-27.15,27.86
1852.42,-26.77,28.81
1852.58,-27.15,27.45
1852.75,-27.44,26.45
1852.92,-27.56,25.75
1853.08,-27.68,26.07
1853.25,-27.69,26.45
1853.42,-26.78,27.32
1853.58,-27.34,26.04
1853.75,-27.47,26.42
1853.92,-27.83,26.36
1854.08,-28.27,27.12
1854.25,-28.08,27.28
1854.42,-27.51,26.42
1854.58,-27.47,26.45
1854.75,-27.14,26.48
1854.92,-27.42,26.58
1855.08,-27.53,26.69
1855.25,-27.2,27.82
1855.42,-27.16,26.69
1855.58,-27.62,25.7
1855.75,-27.3,26.72
1855.92,-27.45,25.75
1856.08,-27.23,26.22
1856.25,-26.94,26.78
1856.42,-27.12,25.65
1856.58,-26.88,26.18
1856.75,-26.62,26.98
1856.92,-26.39,27.92
1857.08,-26.44,28.46
1857.25,-26.45,28.2
1857.42,-26.49,27.41
1857.58,-27.27,26.38
1857.75,-27.2,26.72
1857.92,-27.48,27.22
1858.08,-27.17,27.2
1858.25,-27.26,27.12
1858.42,-26.97,26.86
1858.58,-26.32,28.0
1858.75,-26.43,28.28
1858.92,-26.91,27.09
1859.08,-25.84,28.38
1859.25,-25.69,27.8
1859.42,-25.53,28.58
1859.58,-26.27,27.25
1859.75,-26.53,26.48
1859.92,-27.05,26.86
